"Public","28794","Purdue",
"Public","32838","UCSanDiego",
"Public","32838","UCSanDiego",
"Private","14800","Minerva",
"Private","55450","MIT",
"Private","52217","USC",
"Public","32640","UCLosAngeles",
"Public","21303","Cal Poly SLO",
"Private","51800","RISD",
"Private","55450","MIT",
"Private","47730","Harvard",
"Public","39550","UCBerkeley",
"Public","32640","UCLosAngeles",
"Public","28794","Purdue",
